### gwbasic_000.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
1 | MUCSY | CONVERSACIONAL, | A | 1
2 | PAINTBOX | UTILIDAD | A | 2
3 | HUNCHBACK | ARCADE | A | 3
4 | ZAXXAN | ARCADE | A | 4
5 | TOWER OF EVIL | ARCADE | A | 5
6 | REVERSI | JUEGO DE MESA | A | 6
8 | HORACE GOES SKIING | ARCADE | A | 8
9 | HORACE AND THE SPIDERS | ARCADE | A | 9
10 | HUNGRY HORACE | ARCADE | A | 10
14 | MISSILE | ARCADE | A | 11
12 | PSYTRON | ARCADE | A | 12
13 | SPACE RAIDERS | ARCADE | A | 13
14 | PLANETOIDS | ARCADE | A | 14
15 | INTERCEPTOR COBALT | SIMULADOR | A | 15
16 | COMBAT ZONE | ARCADE | A | 16
1 | TRANZ AM | ARCADE | A | 1
18 | AUTOSTOPISTA GALACTICO | ARCADE | A | 18
 | HIGH NOON | ARCADE | A | 

### gwbasic_001.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
19 | OLIMPICON | ARCADE | B | 19
20 | MATCH POINT | S. DEPORTIVO | BE | 20
21 | THE BIRDS AND THE BEES | ARCADE | B | 21
22 | EL ESCALADOR LOCO | ARCADE | B | 22
23 | ZOOM | ARCADE | B | 23
24 | ZIP ZAP | ARCADE | B | 24
25 | COPYCAT 3 | UTILIDAD | B | 2
26 | COSMIC CRUISER | ARCADE | B | 26
2 | BLACK HOLE | ARCADE | B | 2
28 | CHUCKIE EGG | ARCADE | B | 28
29 | THE KEY | UTILIDAD | B | 2
30 | COOKIE | ARCADE | B | 30
31 | BLUE THUNDER | ARCADE | B | 31
32 | SPACE SHUTTLE | SIMULADOR | B | 32
33 | STATION ZEBRA | ARCADE | B | 33
34 | ANDROIDE II | ARCADE | B | 34
35 | INFRARED | UTILIDAD | B | 35
36 | ZX DISASSEMBLER | UTILIDAD | B | 36

### gwbasic_002.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
32 | ANDROIDE 1 | ARCADE | B | 32
38 | DOOMSDAY CASTLE | ARCADE | B | 38
39 | SUPERCHESS | JUEGO DE MESA | C | 39
40 | THE HOBBIT | CONUERSACIONAL, | C | 40
41 | HARRIER ATTACK | ARCADE | C | 41
42 | FRED | ARCADE | C | 42
43 | PIMBALL WIZARD | ARCADE | C | 43
44 | MELBOURNE DRAW | UTILIDAD | C | 44
45 | JUMPING JACK | ARCADE | C | 45
46 | GOBBLEMAN | ARCADE | C | 46
A | AHH DIMDUMS | ARCADE | C | CR
48 | ORBITER | ARCADE | C | 48
49 | MOLAR MAUL | ARCADE | C | 49
50 | DEFENDER | ARCADE | C | 50
51 | ALCHEMIST | UIDEQAVENTURA | C | 51
52 | AQUAPLANE | ARCADE | C | 52
53 | XADOM | ARCADE | C | 53
54 | STAR TREK | SIMULADOR | C | 54

### gwbasic_003.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
55 | MORSE | UTILIDAD | C | 5S
56 | KNOT 3D | ARCADE | C | 56
5 | TUTOR | UTILIDAD | C | 5
58 | TANK TRAX | ARCADE | C | 58
59 | CHICAGO GANG | ARCADE | C | 59
60 | EL GOLPE | ARCADE | C | 60
61 | BANDERA A CUADROS | SIMULADOR | C | 61
62 | THE WAR OF THE WORLDS | UIDEQAVENTURA | E | 62
63 | KNIGHT DRIVER | ARCADE | E | 63
64 | JUMP CHALLENGER | ARCADE | E | 64
65 | THE FALL GUY | ARCADE | EY | 65
66 | AUALON | UIDEQAVENTURA | E | 66
6 | DALEY THOMPSON S DECATLON | ARCADE | E | 6
68 | BEACH HEAD | ARCADE | E-29 | 68
69 | WORLD CUP | ARCADE | E | 69
20 | SCUBA DIVE | ARCADE | E | 70
A | BIORRITWS | UTILIDAD | E | A
2 | BRUCE LEE | ARCADE | F | 7

### gwbasic_004.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
723 | CYCLONE | ARCADE | F | 7
74 | AUTOMANIA | UIDEQAVENTURA | F | 4
EB | EVERYONE S A WALLY | UIDEQAVENTURA | F | CY
7 | HUNCHBACK II | ARCADE | F | 6
78 | ESKIMO EDDIE | ARCADE | F | ZD
CZ | WIZARD | ARCADE | F | 78
80 | DELTA WING | ARCADE | F | 7
81 | BUGGY BLAST | ARCADE | F | 80
82 | MONTY IS INOCENT | ARCADE | F | 81
83 | UNDERWURLDE | UIDEQAVENTURA | FZ | 82
84 | UALHALLA | CONUERSACIONAL | F | 83
85 | PENETRATOR | ARCADE | F | 84
86 | COMBAT LYNX | SIMULADOR | G | 85
8 | TORNADO LOW LEVEL | ARCADE | G | 86
88 | KNIGHT'S LORE | UIDEQAVENTURA | GU | 82
89 | THE HULK | CONUERSACIONAL | G | 88
30 | SAIMAZDON | UIDEOAVENTURA | G | 89
 | FLIGHT SIMULATOR | SIMULADOR | G | 30

### gwbasic_005.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
91 | Z-MAN | ARCADE | G | 91
92 | JACK AND THE BEANSTALK | ARCADE | G | 92
93 | TERROR DAKTIL 4D | ARCADE | G | 93
94 | ENSAMBLADOR | UTILIDAD | G | 94
95 | BOULDER DASH | ARCADE | G | 95
96 | HELLFIRE | ARCADE | G | 96
92 | GAMES DESIGNER | UTILIDAD | G | CED
98 | METEOROIDS | ARCADE | G | 98
99 | CHESS | JUEGO DE MESA | G | 99
100 | FRENZY | ARCADE | G | 100
101 | GIFT FROM THE GODS | ARCADE | H | 101
102 | ENDURO | ARCADE | H | 102
193 | BLUE MAX | ARCADE | H | 103
104 | MATCH DAY | S. DEPORTIVO | H | 104
105 | ALIEN 8 | UIDEQAVENTURA | H | 105
106 | RIVER RAID | ARCADE | H | 106
10 | LUNAR JETMAN | ARCADE | H | 10
108 | CYRUS IS CHESS | JUEGO DE MESA | H | 108

### gwbasic_006.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
109 | GREMLINS | CONVERSACIONAL, | H | 109
110 | STRIP POKER | JUEGO DE MESA | H | 110
141 | BUGABOO | ARCADE | H | 141
112 | SKOOL DAZE | ARCADE | HW | 112
113 | HYPERSPORTS | ARCADE | H-32 | 113
114 | TAPPER | ARCADE | H-23 | 114
145 | SPORT HERO | ARCADE | I | 115
116 | BOOTY | ARCADE | I | 116
11 | PAINTER | ARCADE | I | 112
118 | INUADERS | ARCADE | I | 118
119 | AIRWOLF | ARCADE | I | 119
120 | WORSE SEA | ARCADE | I | 120
121 | JET SET WILLY | ARCADE | I | 121
122 | SNAKE PIT | ARCADE | I | 122
123 | BILLAR | S. DEPORTIVO | I | 123
124 | ROCKS | ARCADE | I | 124
125 | TIR NA NOG | UIDEQAVENTURA | I | 125
126 | RAID OVER MOSCOW | ARCADE | I | 126

### gwbasic_007.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
12 | SPY HUNTER | ARCADE | 1-30 | 122
128 | BACKGAMMON | JUEGO DE MESA | I | 128
129 | MILLIPEDE | ARCADE | I | 129
130 | 3D TUNNEL | ARCADE | I | 130
131 | UL-FILE | UTILIDAD | IM | 131
132 | MASTER FILE | UTIL IDAD | I | 132
133 | TIME GATE | ARCADE | A | 133
134 | HUNTER KILLER | SIMULADOR | A | 134
135 | SPECTRUM CHESS | JUEGO DE MESA | A | 135
136 | SOLITARIO | JUEGO DE MESA | A | 136
13 | TABLA PERIODICA | UTILIDAD | A | 132
